代码,名称,细分行业,地区
000001,平安银行,股份制银行,深圳
000002,万 科Ａ,住宅开发,深圳
000004,*ST国华,基础软件,深圳
000006,深振业Ａ,住宅开发,深圳
000007,全新好,商业物业经营,深圳
000008,神州高铁,轨交设备,北京
000009,中国宝安,电池化学品,深圳
000010,*ST美丽,园林工程,深圳
000011,深物业A,物业管理,深圳
000012,南 玻Ａ,玻璃制造,深圳
000014,沙河股份,住宅开发,深圳
000016,*ST康佳A,电视,深圳
000017,深中华A,钟表珠宝,深圳
000019,深粮控股,粮油加工,深圳
000020,深华发Ａ,面板,深圳
000021,深科技,消费电子组件,深圳
000025,特 力Ａ,综合类,深圳
000026,飞亚达,钟表珠宝,深圳
000027,深圳能源,火力发电,深圳
000028,国药一致,医药流通,深圳
000029,深深房Ａ,住宅开发,深圳
000030,富奥股份,底盘与发动机系统,吉林
000031,大悦城,商业地产,深圳
000032,深桑达Ａ,其他专业工程,深圳
000034,神州数码,其他云服务,深圳
000035,中国天楹,固废治理,江苏
000036,华联控股,住宅开发,深圳
000037,深南电A,火力发电,深圳
000039,中集集团,金属制品,深圳
000042,中洲控股,住宅开发,深圳
000045,深纺织Ａ,光学元件,深圳
000048,京基智农,生猪养殖,深圳
000049,德赛电池,锂电池,深圳
000050,深天马Ａ,面板,深圳
000055,方大集团,其他建材,深圳
000056,*ST皇庭,商业物业经营,深圳
000058,深 赛 格,商业物业经营,深圳
000059,华锦股份,炼油化工,辽宁
000060,中金岭南,铅锌,深圳
000061,农 产 品,商业物业经营,深圳
000062,深圳华强,其他电子,深圳
000063,中兴通讯,系统设备,深圳
000065,北方国际,国际工程,北京
000066,中国长城,其他IT设备,深圳
000068,华控赛格,水治理,深圳
000069,华侨城Ａ,住宅开发,深圳
000070,特发信息,光纤光缆,深圳
000078,ST海王,医药流通,深圳
000088,盐 田 港,港口,深圳
000089,深圳机场,机场,深圳
000090,天健集团,基建工程,深圳
000096,广聚能源,石油贸易,深圳
000099,中信海直,航空运输,深圳
000100,TCL科技,面板,广东
000151,中成股份,贸易,北京
000153,丰原药业,化学制剂,安徽
000155,川能动力,风力发电,四川
000156,华数传媒,广播电视,浙江
