日期,农历完整日期,农历日期,农历月份,干支年,干支日,干支月,年,日,星期,月,月大小,生肖年,节日
2018-01-01,十一月十五,十五,十一月,丁酉,癸巳,壬子,2018,01,星期一,01,大,鸡,元旦
2018-01-02,十一月十六,十六,十一月,丁酉,甲午,壬子,2018,02,星期二,01,大,鸡,
2018-01-03,十一月十七,十七,十一月,丁酉,乙未,壬子,2018,03,星期三,01,大,鸡,阿弥陀佛圣诞
2018-01-04,十一月十八,十八,十一月,丁酉,丙申,壬子,2018,04,星期四,01,大,鸡,
2018-01-05,十一月十九,十九,十一月,丁酉,丁酉,癸丑,2018,05,星期五,01,大,鸡,"日光菩萨圣诞, 小寒"
2018-01-06,十一月二十,二十,十一月,丁酉,戊戌,癸丑,2018,06,星期六,01,大,鸡,
2018-01-07,十一月廿一,廿一,十一月,丁酉,己亥,癸丑,2018,07,星期日,01,大,鸡,
2018-01-08,十一月廿二,廿二,十一月,丁酉,庚子,癸丑,2018,08,星期一,01,大,鸡,周恩来逝世纪念日
2018-01-09,十一月廿三,廿三,十一月,丁酉,辛丑,癸丑,2018,09,星期二,01,大,鸡,
2018-01-10,十一月廿四,廿四,十一月,丁酉,壬寅,癸丑,2018,10,星期三,01,大,鸡,中国人民警察节
2018-01-11,十一月廿五,廿五,十一月,丁酉,癸卯,癸丑,2018,11,星期四,01,大,鸡,
2018-01-12,十一月廿六,廿六,十一月,丁酉,甲辰,癸丑,2018,12,星期五,01,大,鸡,
2018-01-13,十一月廿七,廿七,十一月,丁酉,乙巳,癸丑,2018,13,星期六,01,大,鸡,
2018-01-14,十一月廿八,廿八,十一月,丁酉,丙午,癸丑,2018,14,星期日,01,大,鸡,
2018-01-15,十一月廿九,廿九,十一月,丁酉,丁未,癸丑,2018,15,星期一,01,大,鸡,
2018-01-16,十一月三十,三十,十一月,丁酉,戊申,癸丑,2018,16,星期二,01,大,鸡,
2018-01-17,十二月初一,初一,十二月,丁酉,己酉,癸丑,2018,17,星期三,01,大,鸡,
2018-01-18,十二月初二,初二,十二月,丁酉,庚戌,癸丑,2018,18,星期四,01,大,鸡,
2018-01-19,十二月初三,初三,十二月,丁酉,辛亥,癸丑,2018,19,星期五,01,大,鸡,
2018-01-20,十二月初四,初四,十二月,丁酉,壬子,癸丑,2018,20,星期六,01,大,鸡,大寒
2018-01-21,十二月初五,初五,十二月,丁酉,癸丑,癸丑,2018,21,星期日,01,大,鸡,
2018-01-22,十二月初六,初六,十二月,丁酉,甲寅,癸丑,2018,22,星期一,01,大,鸡,
2018-01-23,十二月初七,初七,十二月,丁酉,乙卯,癸丑,2018,23,星期二,01,大,鸡,
2018-01-24,十二月初八,初八,十二月,丁酉,丙辰,癸丑,2018,24,星期三,01,大,鸡,"腊八节, 释迦牟尼佛成道"
2018-01-25,十二月初九,初九,十二月,丁酉,丁巳,癸丑,2018,25,星期四,01,大,鸡,
2018-01-26,十二月初十,初十,十二月,丁酉,戊午,癸丑,2018,26,星期五,01,大,鸡,国际海关日
2018-01-27,十二月十一,十一,十二月,丁酉,己未,癸丑,2018,27,星期六,01,大,鸡,国际大屠杀纪念日
2018-01-28,十二月十二,十二,十二月,丁酉,庚申,癸丑,2018,28,星期日,01,大,鸡,国际麻风节
2018-01-29,十二月十三,十三,十二月,丁酉,辛酉,癸丑,2018,29,星期一,01,大,鸡,
2018-01-30,十二月十四,十四,十二月,丁酉,壬戌,癸丑,2018,30,星期二,01,大,鸡,
2018-01-31,十二月十五,十五,十二月,丁酉,癸亥,癸丑,2018,31,星期三,01,大,鸡,
2018-02-01,十二月十六,十六,十二月,丁酉,甲子,癸丑,2018,01,星期四,02,小,鸡,
2018-02-02,十二月十七,十七,十二月,丁酉,乙丑,癸丑,2018,02,星期五,02,小,鸡,世界湿地日
2018-02-03,十二月十八,十八,十二月,丁酉,丙寅,癸丑,2018,03,星期六,02,小,鸡,
2018-02-04,十二月十九,十九,十二月,戊戌,丁卯,甲寅,2018,04,星期日,02,小,鸡,"世界抗癌症日, 世界癌症日, 立春"
2018-02-05,十二月二十,二十,十二月,戊戌,戊辰,甲寅,2018,05,星期一,02,小,鸡,
2018-02-06,十二月廿一,廿一,十二月,戊戌,己巳,甲寅,2018,06,星期二,02,小,鸡,
2018-02-07,十二月廿二,廿二,十二月,戊戌,庚午,甲寅,2018,07,星期三,02,小,鸡,国际声援南非日
2018-02-08,十二月廿三,廿三,十二月,戊戌,辛未,甲寅,2018,08,星期四,02,小,鸡,"北方小年, 祭灶节, 监斋菩萨圣诞"
2018-02-09,十二月廿四,廿四,十二月,戊戌,壬申,甲寅,2018,09,星期五,02,小,鸡,南方小年
2018-02-10,十二月廿五,廿五,十二月,戊戌,癸酉,甲寅,2018,10,星期六,02,小,鸡,国际气象节
2018-02-11,十二月廿六,廿六,十二月,戊戌,甲戌,甲寅,2018,11,星期日,02,小,鸡,
2018-02-12,十二月廿七,廿七,十二月,戊戌,乙亥,甲寅,2018,12,星期一,02,小,鸡,
2018-02-13,十二月廿八,廿八,十二月,戊戌,丙子,甲寅,2018,13,星期二,02,小,鸡,
2018-02-14,十二月廿九,廿九,十二月,戊戌,丁丑,甲寅,2018,14,星期三,02,小,鸡,"情人节, 华严菩萨圣诞"
2018-02-15,十二月三十,三十,十二月,戊戌,戊寅,甲寅,2018,15,星期四,02,小,鸡,除夕
2018-02-16,正月初一,初一,正月,戊戌,己卯,甲寅,2018,16,星期五,02,小,狗,"春节, 弥勒菩萨圣诞"
2018-02-17,正月初二,初二,正月,戊戌,庚辰,甲寅,2018,17,星期六,02,小,狗,
2018-02-18,正月初三,初三,正月,戊戌,辛巳,甲寅,2018,18,星期日,02,小,狗,
2018-02-19,正月初四,初四,正月,戊戌,壬午,甲寅,2018,19,星期一,02,小,狗,"邓小平逝世纪念日, 雨水"
2018-02-20,正月初五,初五,正月,戊戌,癸未,甲寅,2018,20,星期二,02,小,狗,
2018-02-21,正月初六,初六,正月,戊戌,甲申,甲寅,2018,21,星期三,02,小,狗,"国际母语日, 定光佛圣诞"
2018-02-22,正月初七,初七,正月,戊戌,乙酉,甲寅,2018,22,星期四,02,小,狗,
2018-02-23,正月初八,初八,正月,戊戌,丙戌,甲寅,2018,23,星期五,02,小,狗,
2018-02-24,正月初九,初九,正月,戊戌,丁亥,甲寅,2018,24,星期六,02,小,狗,第三世界青年日
2018-02-25,正月初十,初十,正月,戊戌,戊子,甲寅,2018,25,星期日,02,小,狗,
2018-02-26,正月十一,十一,正月,戊戌,己丑,甲寅,2018,26,星期一,02,小,狗,
2018-02-27,正月十二,十二,正月,戊戌,庚寅,甲寅,2018,27,星期二,02,小,狗,
2018-02-28,正月十三,十三,正月,戊戌,辛卯,甲寅,2018,28,星期三,02,小,狗,"国际罕见病日, 世界居住条件调查日"
2018-03-01,正月十四,十四,正月,戊戌,壬辰,甲寅,2018,01,星期四,03,大,狗,"国际海豹日, 国际民防日"
2018-03-02,正月十五,十五,正月,戊戌,癸巳,甲寅,2018,02,星期五,03,大,狗,元宵节
2018-03-03,正月十六,十六,正月,戊戌,甲午,甲寅,2018,03,星期六,03,大,狗,全国爱耳日
2018-03-04,正月十七,十七,正月,戊戌,乙未,甲寅,2018,04,星期日,03,大,狗,
2018-03-05,正月十八,十八,正月,戊戌,丙申,乙卯,2018,05,星期一,03,大,狗,"学雷锋纪念日, 中国青年志愿者服务日, 惊蛰"
2018-03-06,正月十九,十九,正月,戊戌,丁酉,乙卯,2018,06,星期二,03,大,狗,世界青光眼日
2018-03-07,正月二十,二十,正月,戊戌,戊戌,乙卯,2018,07,星期三,03,大,狗,女生节
2018-03-08,正月廿一,廿一,正月,戊戌,己亥,乙卯,2018,08,星期四,03,大,狗,"三八妇女节, 世界肾脏日"
2018-03-09,正月廿二,廿二,正月,戊戌,庚子,乙卯,2018,09,星期五,03,大,狗,保护母亲河日
2018-03-10,正月廿三,廿三,正月,戊戌,辛丑,乙卯,2018,10,星期六,03,大,狗,
2018-03-11,正月廿四,廿四,正月,戊戌,壬寅,乙卯,2018,11,星期日,03,大,狗,国际尊严尊敬日
2018-03-12,正月廿五,廿五,正月,戊戌,癸卯,乙卯,2018,12,星期一,03,大,狗,植树节
2018-03-13,正月廿六,廿六,正月,戊戌,甲辰,乙卯,2018,13,星期二,03,大,狗,
2018-03-14,正月廿七,廿七,正月,戊戌,乙巳,乙卯,2018,14,星期三,03,大,狗,"白色情人节, 国际警察日"
2018-03-15,正月廿八,廿八,正月,戊戌,丙午,乙卯,2018,15,星期四,03,大,狗,消费者权益日
2018-03-16,正月廿九,廿九,正月,戊戌,丁未,乙卯,2018,16,星期五,03,大,狗,手拉手情系贫困小伙伴全国统一行动日
2018-03-17,二月初一,初一,二月,戊戌,戊申,乙卯,2018,17,星期六,03,大,狗,中国国医节
2018-03-18,二月初二,初二,二月,戊戌,己酉,乙卯,2018,18,星期日,03,大,狗,"全国科技人才活动日, 龙抬头, 中和节"
2018-03-19,二月初三,初三,二月,戊戌,庚戌,乙卯,2018,19,星期一,03,大,狗,
2018-03-20,二月初四,初四,二月,戊戌,辛亥,乙卯,2018,20,星期二,03,大,狗,"世界无肉日, 世界社会工作日"
2018-03-21,二月初五,初五,二月,戊戌,壬子,乙卯,2018,21,星期三,03,大,狗,"世界睡眠日, 世界森林日, 世界儿歌日, 国际消除种族歧视日, 世界诗歌日, 春分"
2018-03-22,二月初六,初六,二月,戊戌,癸丑,乙卯,2018,22,星期四,03,大,狗,世界水日
2018-03-23,二月初七,初七,二月,戊戌,甲寅,乙卯,2018,23,星期五,03,大,狗,世界气象日
2018-03-24,二月初八,初八,二月,戊戌,乙卯,乙卯,2018,24,星期六,03,大,狗,"世界防治结核病日, 释迦牟尼佛出家"
2018-03-25,二月初九,初九,二月,戊戌,丙辰,乙卯,2018,25,星期日,03,大,狗,
2018-03-26,二月初十,初十,二月,戊戌,丁巳,乙卯,2018,26,星期一,03,大,狗,全国中小学生安全教育日
2018-03-27,二月十一,十一,二月,戊戌,戊午,乙卯,2018,27,星期二,03,大,狗,世界戏剧日
2018-03-28,二月十二,十二,二月,戊戌,己未,乙卯,2018,28,星期三,03,大,狗,
2018-03-29,二月十三,十三,二月,戊戌,庚申,乙卯,2018,29,星期四,03,大,狗,黄花岗七十二烈士殉难纪念日
2018-03-30,二月十四,十四,二月,戊戌,辛酉,乙卯,2018,30,星期五,03,大,狗,
2018-03-31,二月十五,十五,二月,戊戌,壬戌,乙卯,2018,31,星期六,03,大,狗,释迦牟尼佛涅槃
2018-04-01,二月十六,十六,二月,戊戌,癸亥,乙卯,2018,01,星期日,04,小,狗,"愚人节, 全国爱国卫生运动月(四月), 税收宣传月(四月)"
2018-04-02,二月十七,十七,二月,戊戌,甲子,乙卯,2018,02,星期一,04,小,狗,"国际儿童图书日, 世界自闭症日"
