open,close,high,low,vol,amout,trade_date,hour,minute,volume
31.46,31.27,31.46,31.2,769900.0,24134920.0,2026,9,31,769900.0
31.26,31.31,31.4,31.23,505100.0,15817160.0,2026,9,32,505100.0
31.33,31.41,31.43,31.31,311700.0,9776049.0,2026,9,33,311700.0
31.38,31.5,31.51,31.38,256400.0,8060100.0,2026,9,34,256400.0
31.49,31.42,31.49,31.4,215800.0,6787715.0,2026,9,35,215800.0
31.42,31.44,31.47,31.4,216300.0,6802095.0,2026,9,36,216300.0
31.43,31.41,31.45,31.32,414400.0,12997023.0,2026,9,37,414400.0
31.37,31.41,31.44,31.36,275500.0,8647750.0,2026,9,38,275500.0
31.4,31.37,31.42,31.36,179900.0,5645460.0,2026,9,39,179900.0
31.36,31.25,31.36,31.25,298200.0,9333926.0,2026,9,40,298200.0
31.26,31.21,31.26,31.21,393800.0,12297458.0,2026,9,41,393800.0
31.23,31.36,31.36,31.23,625700.0,19570284.0,2026,9,42,625700.0
31.34,31.32,31.37,31.29,210700.0,6603597.0,2026,9,43,210700.0
31.32,31.32,31.34,31.3,206000.0,6451889.0,2026,9,44,206000.0
31.32,31.28,31.32,31.27,318700.0,9972630.0,2026,9,45,318700.0
31.28,31.36,31.4,31.28,236300.0,7402972.0,2026,9,46,236300.0
31.35,31.32,31.35,31.31,116800.0,3659669.0,2026,9,47,116800.0
31.32,31.3,31.32,31.29,218900.0,6851549.0,2026,9,48,218900.0
31.31,31.38,31.41,31.31,199600.0,6261461.0,2026,9,49,199600.0
31.37,31.3,31.39,31.3,238400.0,7469290.0,2026,9,50,238400.0
31.32,31.39,31.42,31.32,141300.0,4435413.0,2026,9,51,141300.0
31.4,31.39,31.4,31.36,130000.0,4079342.0,2026,9,52,130000.0
31.4,31.45,31.45,31.39,139300.0,4374102.0,2026,9,53,139300.0
31.46,31.42,31.47,31.41,277000.0,8709835.0,2026,9,54,277000.0
31.42,31.42,31.44,31.41,151900.0,4773009.0,2026,9,55,151900.0
31.43,31.48,31.49,31.42,157000.0,4939381.0,2026,9,56,157000.0
31.48,31.47,31.48,31.43,149400.0,4699694.0,2026,9,57,149400.0
31.47,31.42,31.47,31.42,159500.0,5015514.0,2026,9,58,159500.0
31.42,31.43,31.45,31.42,153600.0,4825779.0,2026,9,59,153600.0
31.4,31.38,31.4,31.37,176000.0,5524312.0,2026,10,0,176000.0
31.39,31.25,31.39,31.11,898600.0,28084488.0,2026,9,31,898600.0
31.29,31.49,31.55,31.29,274200.0,8619384.0,2026,9,32,274200.0
31.5,31.62,31.69,31.5,572700.0,18097384.0,2026,9,33,572700.0
31.66,31.48,31.66,31.47,286600.0,9046301.0,2026,9,34,286600.0
31.44,31.46,31.54,31.44,208300.0,6561534.0,2026,9,35,208300.0
31.45,31.44,31.49,31.42,288000.0,9058078.0,2026,9,36,288000.0
31.44,31.47,31.57,31.44,258100.0,8125894.0,2026,9,37,258100.0
31.47,31.39,31.47,31.39,486500.0,15292256.0,2026,9,38,486500.0
31.36,31.36,31.36,31.3,338800.0,10612938.0,2026,9,39,338800.0
31.37,31.31,31.38,31.3,280500.0,8787190.0,2026,9,40,280500.0
31.34,31.34,31.38,31.31,210600.0,6598203.0,2026,9,41,210600.0
31.33,31.4,31.45,31.33,159900.0,5021044.0,2026,9,42,159900.0
31.4,31.48,31.48,31.39,173700.0,5460250.0,2026,9,43,173700.0
31.48,31.49,31.49,31.41,164500.0,5174724.0,2026,9,44,164500.0
31.5,31.45,31.51,31.45,119100.0,3749195.0,2026,9,45,119100.0
31.46,31.55,31.55,31.43,151300.0,4763961.0,2026,9,46,151300.0
31.55,31.48,31.55,31.48,237900.0,7497768.0,2026,9,47,237900.0
31.52,31.64,31.65,31.52,452800.0,14314505.0,2026,9,48,452800.0
31.66,31.64,31.67,31.63,466600.0,14772444.0,2026,9,49,466600.0
31.64,31.73,31.75,31.64,384800.0,12188720.0,2026,9,50,384800.0
31.75,31.8,31.81,31.74,512100.0,16267834.0,2026,9,51,512100.0
31.8,31.84,31.88,31.8,757600.0,24117960.0,2026,9,52,757600.0
31.85,31.92,31.93,31.85,473200.0,15081754.0,2026,9,53,473200.0
31.93,31.98,31.99,31.91,810800.0,25913456.0,2026,9,54,810800.0
32.02,31.91,32.08,31.91,1084100.0,34676484.0,2026,9,55,1084100.0
31.88,31.85,31.88,31.8,428500.0,13639936.0,2026,9,56,428500.0
31.88,31.93,31.97,31.84,416200.0,13276461.0,2026,9,57,416200.0
31.93,31.88,31.94,31.83,389800.0,12433797.0,2026,9,58,389800.0
31.87,31.9,31.9,31.85,434900.0,13863988.0,2026,9,59,434900.0
31.9,31.91,31.98,31.9,318300.0,10169221.0,2026,10,0,318300.0
31.77,31.65,31.78,31.53,1032800.0,32717984.0,2026,9,31,1032800.0
31.63,31.91,31.96,31.63,768600.0,24432656.0,2026,9,32,768600.0
31.9,32.06,32.08,31.9,626100.0,20016858.0,2026,9,33,626100.0
31.97,31.88,31.97,31.8,504900.0,16109529.0,2026,9,34,504900.0
31.88,31.64,31.88,31.64,539300.0,17120608.0,2026,9,35,539300.0
31.63,31.6,31.63,31.55,608600.0,19226488.0,2026,9,36,608600.0
31.56,31.5,31.56,31.42,944900.0,29758280.0,2026,9,37,944900.0
31.5,31.49,31.5,31.44,588700.0,18519240.0,2026,9,38,588700.0
31.46,31.58,31.63,31.46,326500.0,10310341.0,2026,9,39,326500.0
31.6,31.77,31.77,31.58,368400.0,11667042.0,2026,9,40,368400.0
31.77,31.82,31.89,31.77,198900.0,6329837.0,2026,9,41,198900.0
31.82,31.83,31.84,31.77,194100.0,6172537.0,2026,9,42,194100.0
31.82,31.78,31.82,31.76,252800.0,8034978.0,2026,9,43,252800.0
31.79,31.82,31.84,31.79,220100.0,7000786.0,2026,9,44,220100.0
31.83,31.79,31.83,31.75,201100.0,6392061.0,2026,9,45,201100.0
31.79,31.81,31.83,31.77,151400.0,4814604.0,2026,9,46,151400.0
31.82,31.73,31.82,31.73,129800.0,4124432.0,2026,9,47,129800.0
31.74,31.82,31.85,31.73,173300.0,5507913.0,2026,9,48,173300.0
